Player (alias)	Character (name)	ID	Field / Role	R2 Path (Local Binary)	Source URL
Blurple_Waffle	Sen Wu	300	Portrait	Dynamic	randomizer/AOk.gif
			Secondary Square	images/2026/03/19/sen.gif	images/2026/03/19/sen.gif
Mandee	Diana Alvarado	165	Portrait	images/2026/03/19/Diana.jpg	images/2026/03/19/Diana.jpg
			Square	images/2026/03/19/Dianagif2.gif	images/2026/03/19/Dianagif2.gif
			Secondary Square	images/2026/03/19/Dianagif1.gif	images/2026/03/19/Dianagif1.gif
			Rectangle/Banner	images/2026/03/19/tumblr_4562e636cbf616090ebd39a90d8cbb3a_1398c58f_400.gif	images/2026/03/19/tumblr_4562e636cbf616090ebd39a90d8cbb3a_1398c58f_400.gif
			Avatar URL	images/2026/03/19/Dianagif2.gif	images/2026/03/19/Dianagif2.gif
Mandee	Layla El-Faouly	291	Portrait	images/2026/03/19/17665243_1361139417278216_7065094957683900300.jpg	images/2026/03/19/17665243_1361139417278216_7065094957683900300.jpg
			Square	images/2026/03/19/17665243_1361139417278216_7065094957683900361.jpg	images/2026/03/19/17665243_1361139417278216_7065094957683900361.jpg
			Secondary Square	images/2026/03/19/HMjr9s0.jpg	images/2026/03/19/HMjr9s0.jpg
			Rectangle/Banner	images/2026/03/19/3faae90c29f4b7a95610850259753.gif	images/2026/03/19/3faae90c29f4b7a95610850259753.gif
			Avatar URL	images/2026/03/19/17665243_1361139417278216_7065094957683900361.jpg	images/2026/03/19/17665243_1361139417278216_7065094957683900361.jpg
Mandee	Lucy Webster	313	Portrait	images/2026/03/19/17688228_13611394172782719.jpg	images/2026/03/19/17688228_13611394172782719.jpg
			Square	images/2026/03/19/kathryn-newton-8828.jpg	images/2026/03/19/kathryn-newton-8828.jpg
			Rectangle/Banner	images/2026/03/19/687474703a2f2f692e696d6775722e636f6d2f347353746f6f2e676966.gif	images/2026/03/19/687474703a2f2f692e696d6775722e636f6d2f347353746f6f2e676966.gif
			Avatar URL	images/2026/03/19/kathryn-newton-8828.jpg	images/2026/03/19/kathryn-newton-8828.jpg
Mandee	Reese Williams	174	Portrait	images/2026/03/19/Reese.jpg	images/2026/03/19/Reese.jpg
			Square	images/2026/03/19/Reesegif1.gif	images/2026/03/19/Reesegif1.gif
			Secondary Square	images/2026/03/19/Reesegif2.gif	images/2026/03/19/Reesegif2.gif
			Rectangle/Banner	images/2026/03/19/tumblr_0e636cbf616090ebd39a90d8cbb3a_1398c58f_400.webp	images/2026/03/19/tumblr_0e636cbf616090ebd39a90d8cbb3a_1398c58f_400.webp
			Avatar URL	images/2026/03/19/Reesegif1.gif	images/2026/03/19/Reesegif1.gif
Mandee	Virgil Nyx	175	Portrait	images/2026/03/19/Virgil.jpg	images/2026/03/19/Virgil.jpg
			Square	images/2026/03/19/Virgil1.gif	images/2026/03/19/Virgil1.gif
			Secondary Square	images/2026/03/19/Virgilgif2.gif	images/2026/03/19/Virgilgif2.gif
			Rectangle/Banner	images/2026/03/19/tumblr_b89539a90d8cbb3a_1398c58f_400.gif	images/2026/03/19/tumblr_b89539a90d8cbb3a_1398c58f_400.gif
			Avatar URL	images/2026/03/19/Virgil1.gif	images/2026/03/19/Virgil1.gif
MDK	Alison Blaire	262	Portrait	Dynamic	randomizer/xHT.gif
			Square	images/2026/02/02/image.png	images/2026/02/02/image.png
			Secondary Square	images/2025/11/03/afbeeldingcfc0dba992e83637.png	images/2025/11/03/afbeeldingcfc0dba992e83637.png
			Rectangle/Banner	images/2025/11/03/afbeeldingdbe91022c4748ebc.png	images/2025/11/03/afbeeldingdbe91022c4748ebc.png
			Avatar URL	images/2026/02/02/image.png	images/2026/02/02/image.png
MDK	Scott Lang	306	Portrait	images/2026/01/05/imageac7ed0046ca2c809.png	images/2026/01/05/imageac7ed0046ca2c809.png
Null	Izaiah Carter	271	Portrait	Dynamic	randomizer/YzJ.gif
			Square	Dynamic	randomizer/YKd.gif
			Secondary Square	Dynamic	randomizer/YKd.gif
			Avatar URL	Dynamic	randomizer/YKd.gif
Null	Kimberly Parson	129	Portrait	Dynamic	randomizer/csr.gif
			Square	Dynamic	randomizer/wSC.gif
			Secondary Square	Dynamic	randomizer/beZ.gif
			Rectangle/Banner	Dynamic	randomizer/2gM.gif
			Avatar URL	Dynamic	randomizer/wSC.gif
Null	Sharon Davis	290	Portrait	Dynamic	randomizer/AGp.gif
			Square	Dynamic	randomizer/A2e.gif
			Secondary Square	Dynamic	randomizer/gry.gif
			Rectangle/Banner	Dynamic	randomizer/A3v.gif
			Avatar URL	Dynamic	randomizer/A2e.gif
Null	William Kaplan	350	Portrait	Dynamic	randomizer/zmN.gif
			Square	images/2026/04/04/sqgif2.gif	images/2026/04/04/sqgif2.gif
			Secondary Square	images/2026/04/04/sqgif6.gif	images/2026/04/04/sqgif6.gif
			Rectangle/Banner	images/2026/04/04/banner.png	images/2026/04/04/banner.png
			Avatar URL	images/2026/04/04/sqgif2.gif	images/2026/04/04/sqgif2.gif
Reznik	Logan	272	Portrait	Dynamic	randomizer/xoK.gif
			Square	images/2025/11/28/vlc-record-2025-11-29-00h22m02s-All.The.Devils.Men.2018.1080p.BluRay.x264-YTS.AM.mp4--ezgif.com-crop.gif	images/2025/11/28/vlc-record-2025-11-29-00h22m02s-All.The.Devils.Men.2018.1080p.BluRay.x264-YTS.AM.mp4--ezgif.com-crop.gif
			Secondary Square	images/2025/11/29/ezgifeffects.gif	images/2025/11/29/ezgifeffects.gif
			Rectangle/Banner	images/2025/11/27/tumblr_2bae76bf918034ec02478946e9c543f9_9c770f61_540.gif	images/2025/11/27/tumblr_2bae76bf918034ec02478946e9c543f9_9c770f61_540.gif
			Avatar URL	images/2025/11/28/vlc-record-2025-11-29-00h22m02s-All.The.Devils.Men.2018.1080p.BluRay.x264-YTS.AM.mp4--ezgif.com-crop.gif	images/2025/11/28/vlc-record-2025-11-29-00h22m02s-All.The.Devils.Men.2018.1080p.BluRay.x264-YTS.AM.mp4--ezgif.com-crop.gif
Spider	Juliet Hawkins	348	Portrait	Dynamic	randomizer/ujY.gif
Spider	Katherine Murphy	325	Portrait	Dynamic	randomizer/UMS.gif
			Square	images/2026/02/07/ezgif-7-48ecf62.gif	images/2026/02/07/ezgif-7-48ecf62.gif
			Secondary Square	images/2026/02/07/ezgif-7-48ecf61.gif	images/2026/02/07/ezgif-7-48ecf61.gif
			Avatar URL	images/2026/02/07/ezgif-7-48ecf62.gif	images/2026/02/07/ezgif-7-48ecf62.gif
Tristan	Nirav Chaudhari	355	Portrait	Dynamic	randomizer/oFb.gif
			Square	images/2026/04/25/nirav-2.gif	images/2026/04/25/nirav-2.gif
			Secondary Square	images/2026/04/25/nirav-4.gif	images/2026/04/25/nirav-4.gif
			Rectangle/Banner	images/2026/04/25/70f438a90d8cbb3a_1398c58f992.gif	images/2026/04/25/70f438a90d8cbb3a_1398c58f992.gif
			Avatar URL	images/2026/04/25/nirav-2.gif	images/2026/04/25/nirav-2.gif
Tristan	Tommy Shepherd	347	Portrait	Dynamic	randomizer/zbG.gif
			Square	images/2026/04/01/squerre.png	images/2026/04/01/squerre.png
			Secondary Square	images/2026/04/01/trackpad_1398c58f_400.jpg	images/2026/04/01/trackpad_1398c58f_400.jpg
			Rectangle/Banner	images/2026/04/01/speedcomic.jpg	images/2026/04/01/speedcomic.jpg
			Avatar URL	images/2026/04/01/squerre.png	images/2026/04/01/squerre.png
Xana	Arcade	324	Portrait	images/2026/01/30/Arcadeavi.jpg	images/2026/01/30/Arcadeavi.jpg
			Square	images/2026/01/30/Arcadeimg2.jpg	images/2026/01/30/Arcadeimg2.jpg
			Secondary Square	images/2026/01/30/Arcadeicon12.jpg	images/2026/01/30/Arcadeicon12.jpg
			Rectangle/Banner	images/2026/01/30/tumblr_mh3edoSJfR1qcoyt0o2_r2_500.gif	images/2026/01/30/tumblr_mh3edoSJfR1qcoyt0o2_r2_500.gif
			Avatar URL	images/2026/01/30/Arcadeimg2.jpg	images/2026/01/30/Arcadeimg2.jpg
Xana	Delano Krueger	299	Portrait	images/2025/12/29/delanoavi3.jpg	images/2025/12/29/delanoavi3.jpg
			Square	images/2025/12/29/delanoavi12.jpg	images/2025/12/29/delanoavi12.jpg
			Secondary Square	images/2025/12/29/delanoicon2.jpg	images/2025/12/29/delanoicon2.jpg
			Rectangle/Banner	images/2025/12/29/wolf-gif.gif	images/2025/12/29/wolf-gif.gif
			Avatar URL	images/2025/12/29/delanoavi12.jpg	images/2025/12/29/delanoavi12.jpg
Xana	St. John Allerdyce	289	Portrait	images/2025/12/14/pyroavi.jpg	images/2025/12/14/pyroavi.jpg
			Square	images/2025/12/14/pyroicon1.jpg	images/2025/12/14/pyroicon1.jpg
			Secondary Square	images/2025/12/14/pyroicon3.jpg	images/2025/12/14/pyroicon3.jpg
			Rectangle/Banner	images/2025/12/14/x-men-aaron-stanford.gif	images/2025/12/14/x-men-aaron-stanford.gif
			Avatar URL	images/2025/12/14/pyroicon1.jpg	images/2025/12/14/pyroicon1.jpg
Xana	Wade Wilson	260	Portrait	images/2025/11/07/12deadpool.jpeg	images/2025/11/07/12deadpool.jpeg
			Square	images/2025/11/15/465064897_8966823566672367_5892982208331825973_n.jpg	images/2025/11/15/465064897_8966823566672367_5892982208331825973_n.jpg
			Secondary Square	images/2025/11/14/deadpoolicon123.jpg	images/2025/11/14/deadpoolicon123.jpg
			Rectangle/Banner	images/2025/11/07/deadpoolgif12.gif	images/2025/11/07/deadpoolgif12.gif
			Avatar URL	images/2025/11/15/465064897_8966823566672367_5892982208331825973_n.jpg	images/2025/11/15/465064897_8966823566672367_5892982208331825973_n.jpg
